[1, 2]
[0, 3, 4]
[0, 5, 6]
[1, 7, 8]
[1, 9, 10]
[2, 11, 12]
[2, 13, 14]
[3, 15, 16]
[3, 17, 18]
[4, 19, 20]
[4, 21, 22]
[5, 23, 24]
[5, 25, 26]
[6, 27, 28]
[6, 29, 30]
[7, 31, 32]
[7, 33, 34]
[8, 35, 36]
[8, 37, 38]
[9, 39, 40]
[9, 41, 42]
[10, 43, 44]
[10, 45, 46]
[11, 47, 48]
[11, 49, 50]
[12, 51, 52]
[12, 53, 54]
[13, 55, 56]
[13, 57, 58]
[14, 59, 60]
[14, 61, 62]
[15, 63, 64]
[15, 65, 66]
[16, 67, 68]
[16, 69, 70]
[17, 71, 72]
[17, 73, 74]
[18, 75, 76]
[18, 77, 78]
[19, 79, 80]
[19, 81, 82]
[20, 83, 84]
[20, 85, 86]
[21, 87, 88]
[21, 89, 90]
[22, 91, 92]
[22, 93, 94]
[23, 95, 96]
[23, 97, 98]
[24, 99, 100]
[24, 101, 102]
[25, 103, 104]
[25, 105, 106]
[26, 107, 108]
[26, 109, 110]
[27, 111, 112]
[27, 113, 114]
[28, 115, 116]
[28, 117, 118]
[29, 119, 120]
[29, 121, 122]
[30, 123, 124]
[30, 125, 126]
[31, 127, 128]
[31, 129, 130]
[32, 131, 132]
[32, 133, 134]
[33, 135, 136]
[33, 137, 138]
[34, 139, 140]
[34, 141, 142]
[35, 143, 144]
[35, 145, 146]
[36, 147, 148]
[36, 149, 150]
[37, 151, 152]
[37, 153, 154]
[38, 155, 156]
[38, 157, 158]
[39, 159, 160]
[39, 161, 162]
[40, 163, 164]
[40, 165, 166]
[41, 167, 168]
[41, 169, 170]
[42, 171, 172]
[42, 173, 174]
[43, 175, 176]
[43, 177, 178]
[44, 179, 180]
[44, 181, 182]
[45, 183, 184]
[45, 185, 186]
[46, 187, 188]
[46, 189, 190]
[47, 191, 192]
[47, 193, 194]
[48, 195, 196]
[48, 197, 198]
[49, 199, 200]
[49, 201, 202]
[50, 203, 204]
[50, 205, 206]
[51, 207, 208]
[51, 209, 210]
[52, 211, 212]
[52, 213, 214]
[53, 215, 216]
[53, 217, 218]
[54, 219, 220]
[54, 221, 222]
[55, 223, 224]
[55, 225, 226]
[56, 227, 228]
[56, 229, 230]
[57, 231, 232]
[57, 233, 234]
[58, 235, 236]
[58, 237, 238]
[59, 239, 240]
[59, 241, 242]
[60, 243, 244]
[60, 245, 246]
[61, 247, 248]
[61, 249, 250]
[62, 251, 252]
[62, 253, 254]
[63, 255, 256]
[63, 257, 258]
[64, 259, 260]
[64, 261, 262]
[65, 263, 264]
[65, 265, 266]
[66, 267, 268]
[66, 269, 270]
[67, 271, 272]
[67, 273, 274]
[68, 275, 276]
[68, 277, 278]
[69, 279, 280]
[69, 281, 282]
[70, 283, 284]
[70, 285, 286]
[71, 287, 288]
[71, 289, 290]
[72, 291, 292]
[72, 293, 294]
[73, 295, 296]
[73, 297, 298]
[74, 299, 300]
[74, 301, 302]
[75, 303, 304]
[75, 305, 306]
[76, 307, 308]
[76, 309, 310]
[77, 311, 312]
[77, 313, 314]
[78, 315, 316]
[78, 317, 318]
[79, 319, 320]
[79, 321, 322]
[80, 323, 324]
[80, 325, 326]
[81, 327, 328]
[81, 329, 330]
[82, 331, 332]
[82, 333, 334]
[83, 335, 336]
[83, 337, 338]
[84, 339, 340]
[84, 341, 342]
[85, 343, 344]
[85, 345, 346]
[86, 347, 348]
[86, 349, 350]
[87, 351, 352]
[87, 353, 354]
[88, 355, 356]
[88, 357, 358]
[89, 359, 360]
[89, 361, 362]
[90, 363, 364]
[90, 365, 366]
[91, 367, 368]
[91, 369, 370]
[92, 371, 372]
[92, 373, 374]
[93, 375, 376]
[93, 377, 378]
[94, 379, 380]
[94, 381, 382]
[95, 383, 384]
[95, 385, 386]
[96, 387, 388]
[96, 389, 390]
[97, 391, 392]
[97, 393, 394]
[98, 395, 396]
[98, 397, 398]
[99, 399, 400]
[99, 401, 402]
[100, 403, 404]
[100, 405, 406]
[101, 407, 408]
[101, 409, 410]
[102, 411, 412]
[102, 413, 414]
[103, 415, 416]
[103, 417, 418]
[104, 419, 420]
[104, 421, 422]
[105, 423, 424]
[105, 425, 426]
[106, 427, 428]
[106, 429, 430]
[107, 431, 432]
[107, 433, 434]
[108, 435, 436]
[108, 437, 438]
[109, 439, 440]
[109, 441, 442]
[110, 443, 444]
[110, 445, 446]
[111, 447, 448]
[111, 449, 450]
[112, 451, 452]
[112, 453, 454]
[113, 455, 456]
[113, 457, 458]
[114, 459, 460]
[114, 461, 462]
[115, 463, 464]
[115, 465, 466]
[116, 467, 468]
[116, 469, 470]
[117, 471, 472]
[117, 473, 474]
[118, 475, 476]
[118, 477, 478]
[119, 479, 480]
[119, 481, 482]
[120, 483, 484]
[120, 485, 486]
[121, 487, 488]
[121, 489, 490]
[122, 491, 492]
[122, 493, 494]
[123, 495, 496]
[123, 497, 498]
